datetime,tempmax,tempmin,windspeed,cloudcover
2022-02-11,8.6,1.3,10.5,31.5
2022-02-12,9.5,3.3,7.3,58.8
2022-02-13,10.1,7.5,0.2,94.5
2022-02-14,9.3,5.8,15.2,71.4
2022-02-15,10,2.9,30.9,60.2
2022-02-16,15.3,9.3,24.8,88.1
2022-02-17,11.5,8.3,44.2,59.3
2022-02-18,11.6,4.6,50.2,67.6
2022-02-19,10.3,3,33.4,30.9
2022-02-20,12.6,6,34.6,79.9
2022-02-21,11.1,4.8,46.1,46.5
2022-02-22,13.5,5.6,15.2,53.8
2022-02-23,10.8,3.1,13,45.8
2022-02-24,9.1,4,25.8,50.5
2022-02-25,11.1,3.6,22.8,12.5
2022-02-26,11.1,1.3,14.3,8.2
2022-02-27,11.3,3.6,19.6,0
2022-02-28,12.5,6.1,21.6,77.6
2022-03-01,9.8,7.3,16.1,98.1
2022-03-02,8.3,6.4,14.2,88.8
2022-03-03,12.8,6.5,12.4,81.3
2022-03-04,9.3,6.6,6.1,91.2
2022-03-05,7.5,5,0.2,95.7
2022-03-06,8.1,4.3,23.2,84.3
2022-03-07,7.8,3.1,0.2,57.2
2022-03-08,12.6,1.5,0.1,14.2
2022-03-09,12.8,8.6,0.2,73.1
2022-03-10,16,8,0.1,51.4
2022-03-11,13.1,9,24.8,58.7
2022-03-12,13,8.1,28.5,57.8
2022-03-13,12.1,7.5,21.6,74.6
2022-03-14,12.8,4.5,16,37.3
2022-03-15,15.6,6.3,13.5,38.7
2022-03-16,11.3,7.1,21.8,88.2
2022-03-17,14.1,3,23.7,19.9
2022-03-18,16.3,4.6,21.8,8.2
2022-03-19,13.6,8.3,31.2,0
2022-03-20,12,5.1,19.7,11
2022-03-21,16.6,2,13.2,3.7
2022-03-22,20,9.3,17.7,28.3
2022-03-23,19.5,7.3,13.1,3.5
2022-03-24,19.1,5.1,7.6,0.7
2022-03-25,17.8,7.3,18.2,2.1
2022-03-26,17.6,7.1,21.2,1.4
2022-03-27,13.3,6.8,14.2,50.2
2022-03-28,14.9,4.8,12,34.2
2022-03-29,11.1,8,17,79.4
2022-03-30,12.3,4.5,22,94.2
2022-03-31,8.1,2.1,29.3,56
2022-04-01,8.5,1.8,28.5,27.6
2022-04-02,8.1,1.6,20.6,26.9
2022-04-03,9.1,0,15.8,25.5
2022-04-04,14.6,5.1,26,88.6
2022-04-05,14.6,10.6,30,93.9
2022-04-06,13.6,9.4,34.2,77.9
2022-04-07,14.1,7,51.3,58.6
2022-04-08,11.8,3.5,20,37.9
2022-04-09,12.5,2.8,21.7,30.8
2022-04-10,13.3,2.1,15.9,21
2022-04-11,17.3,6.6,30.3,24.6
2022-04-12,18.6,10.6,21.1,50.9
2022-04-13,17.7,10.5,20.4,64.1
2022-04-14,19.6,8.6,12.4,41.7
2022-04-15,22.8,9,14.3,16.7
2022-04-16,18.7,9,17.5,7.4
2022-04-17,19.3,8.1,19.3,9
2022-04-18,17.3,8.1,13.8,28.4
2022-04-19,16,8.8,16,44.3
2022-04-20,18.1,7.8,24.1,22.6
2022-04-21,18.6,7.8,25.4,7.4
2022-04-22,15.5,9.3,28.4,66.2
2022-04-23,16.8,10.3,31.7,66.9
2022-04-24,18.1,8.6,21.8,24.6
2022-04-25,14.6,7.1,16,46.4
2022-04-26,15.6,6.1,17.5,21.6
2022-04-27,11.3,7.6,16.7,81.6
2022-04-28,14,7.1,14.9,66.1
2022-04-29,11.1,7.1,15.6,76.8
2022-04-30,18.1,5.3,12.5,24.8
2022-05-01,14.8,10.3,14.2,74.3
2022-05-02,16.8,9,7.6,82.3
2022-05-03,14.6,11.1,11.3,85.5
2022-05-04,17.3,10.8,17.2,71.4
2022-05-05,19.6,7.3,14.9,40.7
2022-05-06,22.8,10.3,23,22.8
2022-05-07,18.5,12.8,15.9,71.2
2022-05-08,18.3,10.3,15.4,40
2022-05-09,22,8.3,25.9,24.1
2022-05-10,20,14.6,25.6,67.4
2022-05-11,15.6,11.1,27.4,66.4
2022-05-12,18.1,8.3,26.2,37.3
2022-05-13,21,10.6,27.2,46.5
2022-05-14,23.1,8.6,13,17.5
2022-05-15,17.5,14.1,19.3,53.1
2022-05-16,21,12.8,28.9,60.6
2022-05-17,25.5,11.5,24.9,29.7
2022-05-18,23,12.1,19,20.9
2022-05-19,22,14.3,19.6,45.1
2022-05-20,17.8,12.5,25.2,62.6
2022-05-21,20,10.5,19,29
2022-05-22,23.6,10.3,18.4,14.5
2022-05-23,18.8,12.8,18.2,67.5
2022-05-24,17.1,10.1,17.9,58.4
2022-05-25,18.5,9.5,31,54
2022-05-26,19.6,10.4,29.2,69.2
2022-05-27,20.3,13.1,21.6,46
2022-05-28,17.8,10.1,17.8,33.9
2022-05-29,16.1,8.6,17.8,34.6
2022-05-30,15,6.8,22.3,53.7
2022-05-31,16.1,9.1,15.2,60.2
2022-06-01,18.1,7.8,11.4,54.3
2022-06-02,19.6,9.6,16.7,14.6
2022-06-03,23.3,11.5,20.5,44.9
2022-06-04,20.8,12.8,25,55.4
2022-06-05,15.6,10.7,18.2,95.4
2022-06-06,18,12.1,15.6,81.8
2022-06-07,21.1,10.4,18.5,54.1
2022-06-08,22.1,14.3,33.3,60.2
2022-06-09,20.1,12.1,22.3,53.3
2022-06-10,22.3,15.8,28.8,62.1
2022-06-11,21.8,12.8,27.2,34.3
2022-06-12,22.1,12,24.2,24.6
2022-06-13,20.8,11.5,13.1,27.1
2022-06-14,24.6,11.3,12.8,7
2022-06-15,27.3,12.5,14.5,1.2
2022-06-16,28.8,13.5,18.7,3.2
2022-06-17,31.6,16.8,31.4,9.7
2022-06-18,24.1,13.8,21.5,47.3
2022-06-19,19.1,10.8,21,54.5
2022-06-20,22.3,12.5,19.6,20.5
2022-06-21,25.1,11.1,11.9,0
2022-06-22,26.5,13.1,17.5,0
2022-06-23,25,14.5,17.8,39.8
2022-06-24,21.3,15,24,69.9
2022-06-25,21.1,13.6,28.4,55.4
2022-06-26,21.3,12.6,28.4,21.4
2022-06-27,19.6,12.8,28.8,38.1
2022-06-28,21.5,12.1,26.5,41.7
2022-06-29,20.8,15.6,25.1,69.7
2022-06-30,20.6,12.4,21.9,52.7
2022-07-01,21.1,11.6,25.9,54.8
2022-07-02,22.1,12.8,26.3,53.3
2022-07-03,22.1,12.1,18.8,44.1
2022-07-04,22.6,12.3,19.8,47.9
2022-07-05,22.1,11.8,16.7,36.8
2022-07-06,23.6,14.3,21.8,62.2
2022-07-07,24.1,17.1,20.2,56.4
2022-07-08,28.8,15.3,13.1,5.7
2022-07-09,26.6,17.1,15,22.4
2022-07-10,29.1,15.1,14.1,3.9
2022-07-11,30.8,16.6,17.3,7.2
2022-07-12,30.6,19.5,19.8,26.8
2022-07-13,28.1,19.9,12.7,41.3
2022-07-14,25.3,16.3,19.3,21.9
2022-07-15,25.5,14.6,18.8,9.8
2022-07-16,27.8,15.3,16.6,0.9
2022-07-17,30,16.1,17.2,9.3
2022-07-18,36.6,18,17.2,15.5
2022-07-19,39.8,21.7,26.2,11.6
2022-07-20,26.6,19.1,22.9,75.1
2022-07-21,23.6,17.3,16.1,82.1
2022-07-22,22.3,17.6,17.5,75.4
2022-07-23,27.3,16.1,24.7,46.3
2022-07-24,28.1,17.8,31.1,47.1
2022-07-25,23.8,18.3,25.9,76.4
2022-07-26,22.3,15.8,13.8,78.6
2022-07-27,21.1,15.6,14.5,61.1
2022-07-28,22.6,16.5,17.9,43
2022-07-29,26.3,15.1,13.5,25.5
2022-07-30,26.6,16.6,21.2,50.8
2022-07-31,26.1,19.8,26.6,80.1
2022-08-01,27,17.8,17.7,53.5
2022-08-02,25.6,19.1,23,66.2
2022-08-03,27.3,18.5,23.3,67.2
2022-08-04,24,17.6,15.6,56.3
2022-08-05,23.3,14.8,18.7,31.9
2022-08-06,24.8,12.5,11.3,0
2022-08-07,27.1,12.6,12.4,0.2
2022-08-08,28.1,17,18.7,3.6
2022-08-09,28.1,16.6,18.3,5.4
2022-08-10,29.6,16.6,21.6,4.6
2022-08-11,32.6,16.6,18.9,2.4
2022-08-12,32.8,18.8,19.4,0
2022-08-13,34,19.6,16.1,0
2022-08-14,33,19.3,15,4.1
2022-08-15,29.1,19.1,19,28.3
2022-08-16,22.1,18.1,13.6,59.8
2022-08-17,25.3,17.8,18.4,67.1
2022-08-18,26.5,18.1,19.9,68.3
2022-08-19,24.8,18.1,22.7,55.9
2022-08-20,24.8,13.8,24,25.4
2022-08-21,24.3,15,15.4,32.6
2022-08-22,22.5,14.1,16.4,56.1
2022-08-23,25.5,18.1,20.4,85.4
2022-08-24,28.8,20.1,19.2,60.5
2022-08-25,22.8,16.8,18.1,74.9
2022-08-26,24.8,13.3,8.7,38.7
2022-08-27,24.6,15.3,15,26.6
2022-08-28,24,15,19,23
2022-08-29,21.1,16.1,18.9,66
2022-08-30,23.8,14.8,20.1,50.4
2022-08-31,23.1,14.8,24,33
2022-09-01,23.1,14.8,20.5,55.9
2022-09-02,25,16.5,11.3,62.3
2022-09-03,24.1,15.8,19.8,49
2022-09-04,24.1,17,19.4,53.3
2022-09-05,22.8,16.1,21.8,47.6
2022-09-06,22.6,16,22.3,62.1
2022-09-07,21.1,15.3,21.8,56.5
2022-09-08,19.1,14.1,20.5,72.2
2022-09-09,20.1,14.8,21.8,80.2
2022-09-10,20.8,13.5,11.9,50.2
2022-09-11,23.1,14.3,17.8,40.8
2022-09-12,26.6,15.6,15.2,53
2022-09-13,20,16,15,73.2
2022-09-14,21.6,14.6,13.9,55
2022-09-15,19.8,13.6,15.6,79.6
2022-09-16,17.8,11.6,21.3,39.1
2022-09-17,17.8,7.6,20.6,4
2022-09-18,17.8,9.3,20.3,59.2
2022-09-19,18.1,12.6,9.4,72.5
2022-09-20,19.5,9.6,10.6,43.8
2022-09-21,20.3,14.1,12.5,58.4
2022-09-22,19.8,11,17.8,36.6
2022-09-23,19.1,14.8,13.4,76.5
2022-09-24,19,11,18.6,39.5
2022-09-25,16.6,9.8,16.3,34.8
2022-09-26,15.3,11.1,24.3,78.2
2022-09-27,14.8,9.1,21.5,64.5
2022-09-28,14.5,6.1,16.6,26.8
2022-09-29,16,5.8,10,39.4
2022-09-30,17,8.1,29.1,72.4
2022-10-01,19.1,12,26.4,51.4
2022-10-02,18.6,11.8,15.4,53.8
2022-10-03,18.3,8,15.2,43.5
2022-10-04,18,14.1,21.3,93.7
2022-10-05,18.8,12,34.6,77.3
2022-10-06,18.1,8.8,24.7,15.9
2022-10-07,19.3,12.1,29,50.2
2022-10-08,16.8,7.8,15.1,7.5
2022-10-09,18.6,6.8,19.3,14.8
2022-10-10,16.6,10.6,18.7,47.5
2022-10-11,16.5,5.5,6.9,10.1
2022-10-12,16.6,6.1,17.2,71.4
2022-10-13,17.5,11.7,10.5,66.6
2022-10-14,16.3,10.6,15.4,72.5
2022-10-15,16.6,9.3,28.5,47.7
2022-10-16,17.1,11,20,41.8
2022-10-17,19.3,12.1,21.5,58.4
2022-10-18,18.1,8.1,13.2,21.9
2022-10-19,16.6,12.8,26.4,35.3
2022-10-20,17.3,10.9,14.3,73.2
2022-10-21,18.8,10.3,25.2,86.3
2022-10-22,18.6,12.8,19.8,59
2022-10-23,18.8,13,21.3,77.1
2022-10-24,18.3,12.6,31.2,67.8
2022-10-25,17.5,12,15.3,49.4
2022-10-26,19.6,14.3,33.2,60.1
2022-10-27,20.6,13.8,20.6,43.8
2022-10-28,19,12.8,24.2,36.8
2022-10-29,22.6,12.3,16.1,44.7
2022-10-30,16.6,12.8,24,63
2022-10-31,17.1,12.1,25.4,60.7
2022-11-01,16.1,9.8,43.3,70.8
2022-11-02,15.3,9,32.6,57.7
2022-11-03,13.1,8.1,16.5,67.8
2022-11-04,12.8,6.5,18.4,40
2022-11-05,14,6,23.1,89.1
2022-11-06,14.3,10.8,22.6,71
2022-11-07,15.3,11,32.5,78.9
2022-11-08,15.3,11.6,31.7,67
2022-11-09,14,10.5,25.5,43
2022-11-10,15.1,10.3,25.9,74.4
2022-11-11,16.1,10.8,22,91.8
2022-11-12,15.7,10.6,15.6,56.1
2022-11-13,13.2,10.3,11.3,71.6
2022-11-14,13.2,8.9,13.6,83
2022-11-15,13.8,8.8,26.1,67.9
2022-11-16,12.8,8.6,23.2,69.1
2022-11-17,12,8.8,31.7,73.9
2022-11-18,12.1,7.6,23.1,66
2022-11-19,10.6,4.1,13.6,79.4
2022-11-20,11.1,5.6,25.2,55.4
2022-11-21,9.6,4.3,36.3,63.7
2022-11-22,10.3,4.6,20.6,43.4
2022-11-23,12.1,4.6,29.3,49.5
2022-11-24,13.3,6.8,29.8,52.3
2022-11-25,12.1,7.3,19.1,7.2
2022-11-26,12.6,7.1,28.8,74.9
2022-11-27,13.1,10.6,27.2,86.4
2022-11-28,12.1,6,11.6,48.4
2022-11-29,8.1,6.6,9.9,99.2
2022-11-30,9.6,7,8.1,78.8
2022-12-01,9.8,5.6,9.6,86.2
2022-12-02,7.6,4.6,19,87.6
2022-12-03,8,5.7,20.5,95.9
2022-12-04,6.1,4.6,20.2,98.5
2022-12-05,8.6,4.5,14.5,90.7
2022-12-06,7.3,4,11.8,57.7
2022-12-07,5.6,0.1,11.8,49.1
2022-12-08,4.1,-2.2,8.1,3.9
2022-12-09,3.8,-1.5,8.5,46.1
2022-12-10,3.4,-2.7,9.1,5.4
2022-12-11,1.1,-2.5,11.3,77
2022-12-12,1.1,-0.2,11.1,90.4
2022-12-13,2.1,-1.2,10.6,32.9
2022-12-14,1.5,-1.2,13.9,43.1
2022-12-15,2.6,-4.2,8.5,7.1
2022-12-16,2.6,-2.9,6.9,21.3
2022-12-17,5.6,-3.4,13.6,26.6
2022-12-18,9.4,-0.9,20.9,73.2
2022-12-19,13.3,10.1,31.9,99.6
2022-12-20,13.3,5.6,29.5,47.7
2022-12-21,11.3,5.6,16.1,73.9
2022-12-22,11.8,6.1,17.3,97
2022-12-23,13.3,8.6,28,77.2
2022-12-24,11,6.6,18.8,52
2022-12-25,11.6,9.1,18.3,85.9
2022-12-26,10.8,4.6,27.5,34.6
2022-12-27,10.6,2.8,28.4,60.3
2022-12-28,12,10,35.2,97.3
2022-12-29,10.3,6.1,33.6,52.6
2022-12-30,13.6,6,32.5,78.7
2022-12-31,14.3,10.8,34.6,95.5
2023-01-01,12.3,7.6,28.9,81
2023-01-02,9.1,2.8,15.4,40.4
2023-01-03,12.8,4.1,32,90.4
2023-01-04,14,10.8,38.4,78.8
2023-01-05,13.6,9.8,27,92
2023-01-06,12.6,6.6,31.5,59.9
2023-01-07,12.8,7.6,37,80.6
2023-01-08,10.1,5.6,26.5,77
2023-01-09,9.3,5.1,29.1,46.2
2023-01-10,13.1,4.8,32.1,81.6
2023-01-11,10.6,7.6,31.5,48.9
2023-01-12,12.8,8.6,39.4,87.1
2023-01-13,10.6,7,42.9,36.6
2023-01-14,12.8,6.6,36.4,80.1
2023-01-15,8.1,4,29.9,35.9
2023-01-16,5.5,-1.5,24.5,71.7
2023-01-17,2.1,-3.2,10.6,18.3
2023-01-18,5.1,-1.5,18.4,16.8
2023-01-19,5.3,-1.7,12.7,19.8
2023-01-20,6.5,-0.8,17.8,37.3
2023-01-21,6.1,-0.9,10.1,15.7
2023-01-22,5.1,-2.9,7.4,21.2
2023-01-23,4.6,-3.9,8.3,50.2
2023-01-24,5,-1.4,12.8,72.7
2023-01-25,6.6,-1.2,15.5,92.7
2023-01-26,7.8,3.8,18.8,80.1
2023-01-27,7.5,3.8,16.2,79.8
2023-01-28,6.6,4.3,9.9,99.8
2023-01-29,8.6,4.8,22.5,82.7
2023-01-30,9.6,3.3,20.1,37.5
2023-01-31,11.8,3.7,24.3,78.8
2023-02-01,10.6,4.9,30.8,57.4
2023-02-02,10.7,6.3,27.4,83.8
2023-02-03,12.2,6.8,23.3,68.6
2023-02-04,8.9,6.5,15.2,99.2
2023-02-05,8,0.3,16.7,21.7
2023-02-06,10.2,0.3,9.4,24.3
2023-02-07,7.8,-2.1,5.4,19.2
2023-02-08,7.5,-3.9,14.6,7.6
2023-02-09,8.9,-0.2,10.2,51.9
2023-02-10,8.3,-1.8,21.6,35.4
2023-02-11,9.6,7.4,12.8,99.8
2023-02-12,7.9,6.8,10.6,100
2023-02-13,12,3.2,11.3,27.5
2023-02-14,11.7,0.5,6.6,21.6
2023-02-15,14.5,1.4,21.6,41
2023-02-16,12.3,7.5,22.2,87.6
2023-02-17,14.6,10.4,33.5,98.4
2023-02-18,13.3,10.3,31.3,94.2
2023-02-19,13.5,7.5,20.4,27.3
2023-02-20,12.8,6.8,25.9,90.9
2023-02-21,10,6.5,15.6,90.6
2023-02-22,9.6,6.5,13.1,89.7
2023-02-23,8.6,3.8,23.1,84.2
2023-02-24,11.1,1.6,20.7,65.4
2023-02-25,8.1,4.1,24.9,62.8
2023-02-26,7.3,2.6,20.9,32
2023-02-27,8.3,1.6,19.3,53.4
2023-02-28,7.6,2.8,21.4,73.3
2023-03-01,8.1,4.6,16.7,96.5
2023-03-02,9.3,2.6,20,47
2023-03-03,7,4,16.7,99.9
2023-03-04,7.1,5.1,15,100
2023-03-05,5.3,3.6,14.5,97.3
2023-03-06,9.6,1.1,23.4,85.2
2023-03-07,5.8,1.1,17.6,79
2023-03-08,3.3,0.8,19.8,95.4
2023-03-09,10.8,2.6,16.8,99.6
2023-03-10,9.5,3,30.7,82.2
2023-03-11,8.6,-0.4,17.1,68.9
2023-03-12,13.3,6,28.7,86.6
2023-03-13,13.8,10.1,44.5,98.5
2023-03-14,10.8,4.2,28,70.7
2023-03-15,8.6,1,19.9,46.2
2023-03-16,13.6,7.6,26.9,86.7
2023-03-17,15,11,19.1,88.5
2023-03-18,13.6,9.6,15,73.4
2023-03-19,11,6.3,18.7,89.5
